[2025-11-05 03:50:22][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-05 03:50:25][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-05 03:52:05][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-05 03:56:56][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-05 04:04:03][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-05 04:04:15][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-05 04:05:26][INFO] Viewed catalog item: M | IP: 127.0.0.1
[2025-11-05 05:36:30][INFO] Payment canceled for order 38 | IP: 127.0.0.1
[2025-11-05 07:18:11][INFO] Viewed catalog item: TestA | IP: 127.0.0.1
[2025-11-05 07:22:48][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-05 07:23:24][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-05 07:23:24][INFO] Viewed catalog item: Curd | IP: 127.0.0.1
[2025-11-05 07:24:48][INFO] Viewed catalog item: Testz | IP: 127.0.0.1
[2025-11-05 08:03:03][INFO] Viewed catalog item: Test6 | IP: 127.0.0.1
[2025-11-05 10:16:31][INFO] Viewed catalog item: Milk | IP: 127.0.0.1
[2025-11-05 10:23:55][INFO] Viewed catalog item: Test1 | IP: 127.0.0.1
[2025-11-05 10:24:05][INFO] Viewed catalog item: Test1 | IP: 127.0.0.1
